Price,Name,Brand,Size,Packaging,Female,Male,Homo,Perufme,EdP,EdT,EdC,Floral,Fruity,Food,Amber,Woody,Leather,Aquatic,Green,Other,Fresh/Energetic,Warm,Classic,Sweet,Individual,Limitation,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Happy,Clinique,3.4,0.1,1,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Happy Cologue,Clinique,1.7,0.2,,1,,,,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Happy Heart,Clinique,1.7,0.1,1,,,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Happy Heart,Clinique,3.4,0.1,1,,,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Aromatics Elixir,Clinique,0.85,0.3,1,,,1,,,,1,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Aromatics Elixir,Clinique,1.5,0.3,1,,,1,,,,1,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Aromatics Elixir,Clinique,3.4,0.3,1,,,1,,,,1,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Aromatics Black,Clinique,3.4,0.35,1,,,,1,,,,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Coach EdP,Coach,1.7,0.55,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Coach EdP,Coach,3,0.55,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Coach EdT,Coach,3.4,0.55,1,,,,,1,,1,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Coach Poppy  ,Coach,3.4,0.35,1,,,,1,,,1,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Coach for Men,Coach,1.3,0.55,,1,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Coach for Men,Coach,3.3,0.55,,1,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Coach Platinum,Coach,3.3,0.58,,1,,,1,,,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Coach Signature,Coach,3.3,0.3,1,,,,1,,,,,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Jessica Mcclintock,Jessica Mcclintock,3.4,0.35,1,,,,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Morden Jess,Jessica Mcclintock,3.4,0.35,1,,,,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Dancing,Jessica Mcclintock,1.7,0.3,1,,,,1,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Number 3,Jessica Mcclintock,3.4,0.35,1,,,,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Fancy,Jessica Mcclintock,1.7,0.5,1,,,,1,,,,1,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Fancy,Jessica Mcclintock,3.4,0.5,1,,,,1,,,,1,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Bombshell Eau de Parfum,VICTORIA'S SECRET,1.7,0.25,1,,,,1,,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Bombshell Eau de Parfum,VICTORIA'S SECRET,3.4,0.25,1,,,,1,,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Very Sexy Platinum For Him Cologne,VICTORIA'S SECRET,3.4,0.4,,1,,,,,1,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Sinner Eau de Parfum,Kat Von D,1,0.5,1,,,,1,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Sinner Eau de Parfum,Kat Von D,3.4,0.5,1,,,,1,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Her Blossom Eau de Toilette,Burberry,1,0.15,1,,,,,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Her Blossom Eau de Toilette,Burberry,3.4,0.15,1,,,,,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
